I_in_q15,Q_in_q15,I_ref,Q_ref,magnitude
8192,0,0,0,0
6698,4717,0,0,0
2760,7713,0,0,0
-2185,7895,0,0,0
-6333,5197,-2.52060551592659e-05,-8.32667268468867e-17,2.52060551592659e-05
-8170,603,0,0,0
-7027,-4212,0,0,0
-3320,-7489,0,0,0
1598,-8035,0,0,0
5933,-5649,0,0,0
8103,-1202,0,0,0
7317,3683,0,0,0
3862,7225,0,0,0
-1003,8130,0,0,0
-5501,6070,0,0,0
-7993,1795,0,0,0
-7568,-3135,0,0,0
-4383,-6921,0,0,0
402,-8182,0,0,0
5040,-6458,0,0,0
7839,-2378,-4.76819242376081e-05,-5.29378651374993e-17,4.76819242376081e-05
7779,2570,0,0,0
4880,6580,0,0,0
201,8190,0,0,0
-4551,6811,0,0,0
-7643,2948,0,0,0
-7946,-1990,0,0,0
-5351,-6203,0,0,0
-803,-8153,0,0,0
4038,-7128,0,0,0
7405,-3503,0,0,0
8071,1401,0,0,0
5793,5793,0,0,0
1401,8071,0,0,0
-3503,7405,0,0,0
-7128,4038,0,0,0
-8153,-803,-5.48470692188941e-05,1.28863357430533e-16,5.48470692188941e-05
-6203,-5351,0,0,0
-1990,-7946,0,0,0
2948,-7643,0,0,0
6811,-4551,0,0,0
8190,201,0,0,0
6580,4880,0,0,0
2570,7779,0,0,0
-2378,7839,0,0,0
-6458,5040,0,0,0
-8182,402,0,0,0
-6921,-4383,0,0,0
-3135,-7568,0,0,0
1795,-7993,0,0,0
6070,-5501,0,0,0
8130,-1003,0,0,0
7225,3862,3.79225434046867e-05,-5.9081692826195e-17,3.79225434046867e-05
3683,7317,0,0,0
-1202,8103,0,0,0
-5649,5933,0,0,0
-8035,1598,0,0,0
-7489,-3320,0,0,0
-4212,-7027,0,0,0
603,-8170,0,0,0
5197,-6333,0,0,0
7895,-2185,0,0,0
7713,2760,0,0,0
4717,6698,0,0,0
0,8192,0,0,0
-4717,6698,0,0,0
-7713,2760,0,0,0
-7895,-2185,0,0,0
-5197,-6333,6.72759735468248e-05,1.00751583289775e-16,6.72759735468248e-05
-603,-8170,0,0,0
4212,-7027,0,0,0
7489,-3320,0,0,0
8035,1598,0,0,0
5649,5933,0,0,0
1202,8103,0,0,0
-3683,7317,0,0,0
-7225,3862,0,0,0
-8130,-1003,0,0,0
-6070,-5501,0,0,0
-1795,-7993,0,0,0
3135,-7568,0,0,0
6921,-4383,0,0,0
8182,402,0,0,0
6458,5040,0,0,0
2378,7839,6.15426803967968e-05,-1.95373237236887e-16,6.15426803967968e-05
-2570,7779,0,0,0
-6580,4880,0,0,0
-8190,201,0,0,0
-6811,-4551,0,0,0
-2948,-7643,0,0,0
1990,-7946,0,0,0
6203,-5351,0,0,0
8153,-803,0,0,0
7128,4038,0,0,0
3503,7405,0,0,0
-1401,8071,0,0,0
-5793,5793,0,0,0
-8071,1401,0,0,0
-7405,-3503,0,0,0
-4038,-7128,0,0,0
803,-8153,8.00002336617192,1.38777878078145e-17,8.00002336617192
5351,-6203,0,0,0
7946,-1990,0,0,0
7643,2948,0,0,0
4551,6811,0,0,0
-201,8190,0,0,0
-4880,6580,0,0,0
-7779,2570,0,0,0
-7839,-2378,0,0,0
-5040,-6458,0,0,0
-402,-8182,0,0,0
4383,-6921,0,0,0
7568,-3135,0,0,0
7993,1795,0,0,0
5501,6070,0,0,0
1003,8130,0,0,0
-3862,7225,2.9704837958092e-06,1.98201637037189e-16,2.9704837958092e-06
-7317,3683,0,0,0
-8103,-1202,0,0,0
-5933,-5649,0,0,0
-1598,-8035,0,0,0
3320,-7489,0,0,0
7027,-4212,0,0,0
8170,603,0,0,0
6333,5197,0,0,0
2185,7895,0,0,0
-2760,7713,0,0,0
-6698,4717,0,0,0
-8192,0,0,0,0
-6698,-4717,0,0,0
-2760,-7713,0,0,0
2185,-7895,0,0,0
6333,-5197,1.6531175773086e-05,-1.68365798469187e-18,1.6531175773086e-05
8170,-603,0,0,0
7027,4212,0,0,0
3320,7489,0,0,0
-1598,8035,0,0,0
-5933,5649,0,0,0
-8103,1202,0,0,0
-7317,-3683,0,0,0
-3862,-7225,0,0,0
1003,-8130,0,0,0
5501,-6070,0,0,0
7993,-1795,0,0,0
7568,3135,0,0,0
4383,6921,0,0,0
-402,8182,0,0,0
-5040,6458,0,0,0
-7839,2378,-9.23044077213922e-06,3.0830286486412e-17,9.23044077213922e-06
-7779,-2570,0,0,0
-4880,-6580,0,0,0
-201,-8190,0,0,0
4551,-6811,0,0,0
7643,-2948,0,0,0
7946,1990,0,0,0
5351,6203,0,0,0
803,8153,0,0,0
-4038,7128,0,0,0
-7405,3503,0,0,0
-8071,-1401,0,0,0
-5793,-5793,0,0,0
-1401,-8071,0,0,0
3503,-7405,0,0,0
7128,-4038,0,0,0
8153,803,2.4281157159356e-06,-1.80411241501588e-16,2.4281157159356e-06
6203,5351,0,0,0
1990,7946,0,0,0
-2948,7643,0,0,0
-6811,4551,0,0,0
-8190,-201,0,0,0
-6580,-4880,0,0,0
-2570,-7779,0,0,0
2378,-7839,0,0,0
6458,-5040,0,0,0
8182,-402,0,0,0
6921,4383,0,0,0
3135,7568,0,0,0
-1795,7993,0,0,0
-6070,5501,0,0,0
-8130,1003,0,0,0
-7225,-3862,-7.42587061293342e-05,5.21427989222878e-17,7.42587061293342e-05
-3683,-7317,0,0,0
1202,-8103,0,0,0
5649,-5933,0,0,0
8035,-1598,0,0,0
7489,3320,0,0,0
4212,7027,0,0,0
-603,8170,0,0,0
-5197,6333,0,0,0
-7895,2185,0,0,0
-7713,-2760,0,0,0
-4717,-6698,0,0,0
-0,-8192,0,0,0
4717,-6698,0,0,0
7713,-2760,0,0,0
7895,2185,0,0,0
5197,6333,2.26805332293136e-05,-1.13724782251539e-16,2.26805332293136e-05
603,8170,0,0,0
-4212,7027,0,0,0
-7489,3320,0,0,0
-8035,-1598,0,0,0
-5649,-5933,0,0,0
-1202,-8103,0,0,0
3683,-7317,0,0,0
7225,-3862,0,0,0
8130,1003,0,0,0
6070,5501,0,0,0
1795,7993,0,0,0
-3135,7568,0,0,0
-6921,4383,0,0,0
-8182,-402,0,0,0
-6458,-5040,0,0,0
-2378,-7839,-3.77212198255024e-06,2.67190091212496e-17,3.77212198255024e-06
2570,-7779,0,0,0
6580,-4880,0,0,0
8190,-201,0,0,0
6811,4551,0,0,0
2948,7643,0,0,0
-1990,7946,0,0,0
-6203,5351,0,0,0
-8153,803,0,0,0
-7128,-4038,0,0,0
-3503,-7405,0,0,0
1401,-8071,0,0,0
5793,-5793,0,0,0
8071,-1401,0,0,0
7405,3503,0,0,0
4038,7128,0,0,0
-803,8153,-3.74629137814878e-05,-7.78169168642526e-18,3.74629137814878e-05
-5351,6203,0,0,0
-7946,1990,0,0,0
-7643,-2948,0,0,0
-4551,-6811,0,0,0
201,-8190,0,0,0
4880,-6580,0,0,0
7779,-2570,0,0,0
7839,2378,0,0,0
5040,6458,0,0,0
402,8182,0,0,0
-4383,6921,0,0,0
-7568,3135,0,0,0
-7993,-1795,0,0,0
-5501,-6070,0,0,0
-1003,-8130,0,0,0
3862,-7225,7.0678108247293e-05,2.97806688480953e-17,7.0678108247293e-05
7317,-3683,0,0,0
8103,1202,0,0,0
5933,5649,0,0,0
1598,8035,0,0,0
-3320,7489,0,0,0
-7027,4212,0,0,0
-8170,-603,0,0,0
-6333,-5197,0,0,0
-2185,-7895,0,0,0
2760,-7713,0,0,0
6698,-4717,0,0,0
8192,-0,0,0,0
6698,4717,0,0,0
2760,7713,0,0,0
-2185,7895,0,0,0
-6333,5197,-6.52551779263127e-05,1.80411241501588e-16,6.52551779263127e-05
-8170,603,0,0,0
-7027,-4212,0,0,0
-3320,-7489,0,0,0
1598,-8035,0,0,0
5933,-5649,0,0,0
8103,-1202,0,0,0
7317,3683,0,0,0
3862,7225,0,0,0
-1003,8130,0,0,0
-5501,6070,0,0,0
-7993,1795,0,0,0
-7568,-3135,0,0,0
-4383,-6921,0,0,0
402,-8182,0,0,0
5040,-6458,0,0,0
7839,-2378,2.98376571985475e-05,3.38415073416511e-17,2.98376571985475e-05
7779,2570,0,0,0
4880,6580,0,0,0
201,8190,0,0,0
-4551,6811,0,0,0
-7643,2948,0,0,0
-7946,-1990,0,0,0
-5351,-6203,0,0,0
-803,-8153,0,0,0
4038,-7128,0,0,0
7405,-3503,0,0,0
8071,1401,0,0,0
5793,5793,0,0,0
1401,8071,0,0,0
-3503,7405,0,0,0
-7128,4038,0,0,0
-8153,-803,1.78524420164191e-05,-8.89138955062312e-17,1.78524420164191e-05
-6203,-5351,0,0,0
-1990,-7946,0,0,0
2948,-7643,0,0,0
6811,-4551,0,0,0
8190,201,0,0,0
6580,4880,0,0,0
2570,7779,0,0,0
-2378,7839,0,0,0
-6458,5040,0,0,0
-8182,402,0,0,0
-6921,-4383,0,0,0
-3135,-7568,0,0,0
1795,-7993,0,0,0
6070,-5501,0,0,0
8130,-1003,0,0,0
7225,3862,-5.26728920141731e-05,7.58149418861293e-18,5.26728920141731e-05
3683,7317,0,0,0
-1202,8103,0,0,0
-5649,5933,0,0,0
-8035,1598,0,0,0
-7489,-3320,0,0,0
-4212,-7027,0,0,0
603,-8170,0,0,0
5197,-6333,0,0,0
7895,-2185,0,0,0
7713,2760,0,0,0
4717,6698,0,0,0
0,8192,0,0,0
-4717,6698,0,0,0
-7713,2760,0,0,0
-7895,-2185,0,0,0
-5197,-6333,4.00254889352693e-05,-7.16483782550646e-17,4.00254889352693e-05
-603,-8170,0,0,0
4212,-7027,0,0,0
7489,-3320,0,0,0
8035,1598,0,0,0
5649,5933,0,0,0
1202,8103,0,0,0
-3683,7317,0,0,0
-7225,3862,0,0,0
-8130,-1003,0,0,0
-6070,-5501,0,0,0
-1795,-7993,0,0,0
3135,-7568,0,0,0
6921,-4383,0,0,0
8182,402,0,0,0
6458,5040,0,0,0
2378,7839,-2.11341203461256e-05,1.36321540081097e-17,2.11341203461256e-05
-2570,7779,0,0,0
-6580,4880,0,0,0
-8190,201,0,0,0
-6811,-4551,0,0,0
-2948,-7643,0,0,0
1990,-7946,0,0,0
6203,-5351,0,0,0
8153,-803,0,0,0
7128,4038,0,0,0
3503,7405,0,0,0
-1401,8071,0,0,0
-5793,5793,0,0,0
-8071,1401,0,0,0
